# Medication database
# Format: Name | Active substances (comma-separated) | Type
Xromi | Hydroxycarbamide 100 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Ambrisentan Viatris | Ambrisentanum 5 mg | Leki układu sercowo‑naczyniowego
Sixmo | Buprenorphini hydrochloridum 74.2 mg | Leki działające na układ nerwowy
Ultomiris | Ravulizumabum 300 mg | Leki przeciwnowotworowe i immunomodulujące
Striascan | Ioflupanum (123I) 74 MBq/ml | Pozostałe produkty lecznicze
Esperoct | Turoctocogum alfa pegylateum 500 j.m. | Leki działające na krew i układ krwiotwórczy
Bromiduo | Fenoteroli hydrobromidum 0.5 mg/ml + Ipratropii bromidum 0.25 mg/ml | Leki układu oddechowego
MUCOATAC | Acetylcysteinum 600 mg | Leki układu oddechowego
Tadacontrol | Tadalafilum 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Telmisartan/hydrochlorothiazide EGIS | Telmisartanum 80 mg + Hydrochlorothiazidum 12.5 mg | ARB + diuretyki
Grasustek | Pegfilgrastimum 6 mg | Leki przeciwnowotworowe i immunomodulujące
Talzenna | Talazoparibum 0.25 mg | Leki przeciwnowotworowe i immunomodulujące
Versican Plus Bb Oral | Bordetella bronchiseptica, strain 92 B, Live 1,4 x 108 - 5,5 x 109 CFU | Farmakologiczna grupa nieokreślona
Doptelet | Avatrombopagi maleas 20 mg | Leki działające na krew i układ krwiotwórczy
Trecondi | Treosulfan 1 g | Leki przeciwnowotworowe i immunomodulujące
Meganyl | Flunixini megluminum 50 mg/ml | Farmakologiczna grupa nieokreślona
Vilantrin | Metronidazolum 500 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tresuvi | Treprostinilum 1 mg/ml | Leki przeciwpłytkowe
INMEVA | Inaktywowane chlamydie Chlamydia abortus, szczep A22 RP* ≥ 1/ 2 ml + Inaktywowane bakterie Salmonella enterica subsp. enterica serowar Abortusovis, szczep Sao RP* ≥ 1 / 2ml | Farmakologiczna grupa nieokreślona
Meldokar | Meldonium dihydratum 500 mg | Leki układu sercowo‑naczyniowego
Rometar | Xylazini hydrochloridum 23.31 mg/1 ml | Farmakologiczna grupa nieokreślona
Rivaroxaban Intas | Rivaroxabanum 2.5 mg | DOAC
Benzacne Duo | Clindamycinum 10 mg/g + Benzoylis peroxidum 50 mg/g | Leki dermatologiczne
Lisinopril/Amlodipine Holsten | Lisinoprilum dihydricum 10.89 mg + Amlodipini besilas 6.94 mg | Leki układu sercowo‑naczyniowego
Florolab | Florfenicolum 100 mg/1 ml | Farmakologiczna grupa nieokreślona
Biotifem | Biotinum 5 mg | Leki przewodu pokarmowego i metaboliczne
Biotifem MAX | Biotinum 10 mg | Leki przewodu pokarmowego i metaboliczne
Bovilis Ringvac | Atenuowany szczep LTF-130 Trichophyton verrucosum - | Farmakologiczna grupa nieokreślona
EVICTO | Selamectinum 15 mg | Farmakologiczna grupa nieokreślona
Ibuprofen TZF | Ibuprofenum 400 mg | NLPZ
Ibuprom Max Rapid | Ibuprofenum 400 mg | NLPZ
Ibuprom Rapid | Ibuprofenum 200 mg | NLPZ
Ervebo | Rekombinowany wirus pęcherzykowego zapalenia jamy ustnej (rVSV) szczep Indiana z delecją genu kodującego glikoproteinę otoczki (G) wirusa VSV, który zastąpiono sekwencją kodującą glikoproteinę powierzchniową (GP) 1 ml | Leki przeciwbakteryjne i przeciwzakaźne
Inbrija | Levodopum 33 mg | Leki działające na układ nerwowy
Flegamina MAX | Bromhexini hydrochloridum 8 mg/5 ml | Leki układu oddechowego
Dorminox | Doxylamini hydrogenosuccinas 12.5 mg | Leki układu oddechowego
Doxylamina Polpharma | Doxylamini hydrogenosuccinas 25 mg | Leki układu oddechowego
Tadalafil Adamed | Tadalafilum 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Criptolat | Cabergolinum 50 mcg/ml | Farmakologiczna grupa nieokreślona
INTRA DYSOVINOL | Zinci dinatrii edetas 499 mg/ml | Farmakologiczna grupa nieokreślona
Primun IB-ND DUO | Wirus choroby Newcastle (NDV), szczep Hitchner B1, żywy 6 log10 EID50/1 yDawka + Atenuowany wirus zakaźnego zapalenia oskrzeli ptaków, szczep H-120 3 log10 EID50/1 yDawka | Farmakologiczna grupa nieokreślona
FLT(18F) Synektik | Fludeoxythymidinum (18F) 1000 MBq/ml | Pozostałe produkty lecznicze
Soprobec | Beclometasoni dipropionas 100 mcg/dawkę odmierzoną | Leki układu oddechowego
Novistig | Glycopyrronii bromidum 0,5 mg/ml + Neostigmini methylsulfas 2,5 mg/ml | Leki działające na układ nerwowy
Tilobrastil | Ticagrelorum 60 mg | Leki przeciwpłytkowe
Cestal Plus | Praziquantelum 50 mg + Pyranteli embonas 144 mg + Fenbendazolum 200 mg | Farmakologiczna grupa nieokreślona
Ephedrinum Hydrochloricum Aguettant | Ephedrini hydrochloridum 3 mg/ml | Leki układu sercowo‑naczyniowego
Pitamet | Pitavastinum calicum 2 mg | Statyny
Posaconazole AHCL | Posaconazolum 40 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Adacel Polio | Toksoid błoniczy Nie mniej niż 2 IU (2 Lf) + Toksoid tężcowy Nie mniej niż 20 IU (5 Lf) + toksoid krztuścowy 2.5 mcg + hemaglutynina włókienkowa 5 mcg + pertaktyna 3 mcg + Fimbrie (typu 2 i 3) 5 mcg + Wirus poliomyelitis typ 1, inaktywowany 29 jednostek antygenu D3 + Wirus poliomyelitis typ 2, inaktywowany 7 jednostek antygenu D3 + Wirus poliomyelitis typ 3, inaktywowany 26 jednostki antygenu D3 | Leki przeciwbakteryjne i przeciwzakaźne
Suprostiv | Tamsulosini hydrochloridum 0,4 mg | Leki układu moczowo‑płciowego i hormony płciowe
LysaKare | L-Lysini hydrochloridum 25 mg/ml + L-Arginini hydrochloridum 25 mg/ml | Pozostałe produkty lecznicze
Adimuplan | Sitagliptinum 25 mg | Inhibitory DPP-4
Lacosamide UCB | Lacosamidum 50 mg | Leki działające na układ nerwowy
Debretin Neo | Trimebutini maleas 100 mg | Leki przewodu pokarmowego i metaboliczne
Debretin Forte | Trimebutini maleas 200 mg | Leki przewodu pokarmowego i metaboliczne
Giapreza | Angiotensinamidum 2.5 mg/ml | Leki układu sercowo‑naczyniowego
Furosemide Kalceks | Furosemidum 10 mg/ml | Leki układu sercowo‑naczyniowego
Enzaprost Bovis | Dinoprostonum 12.5 mg/ml | Farmakologiczna grupa nieokreślona
DoriTri smak owoców leśnych | Tyrothricinum 0,5 mg + Benzalkonii chloridum 1 mg + Benzocainum 1,5 mg | Leki układu oddechowego
DoriTri mięta | Tyrothricinum 0,5 mg + Benzalkonii chloridum 1 mg + Benzocainum 1,5 mg | Leki układu oddechowego
Serynox | Dinitrogenii oxidum 50% + Oxygenium 50% | Leki działające na układ nerwowy
Anvildis | Vildagliptinum 50 mg | Inhibitory DPP-4
Fampridine Sandoz | Fampridinum 10 mg | Leki działające na układ nerwowy
Flecainide acetate Holsten | Flecainidi acetas 50 mg | Leki układu sercowo‑naczyniowego
Qsiva | Phentermini hydrochloridum 4.67 mg + Topiramatum 23 mg | Leki przewodu pokarmowego i metaboliczne
HorStem | Końskie mezenchymalne komórki macierzyste ze sznura pępowinowego (EUC-MSC) - | Farmakologiczna grupa nieokreślona
Arentor DC | Cefalonium 250 mg/3 g | Farmakologiczna grupa nieokreślona
TamisPras Auro | Tamsulosini hydrochloridum 0,4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Edolox | Etoricoxibum 30 mg | Leki układu mięśniowo‑szkieletowego
Sitagliptin STADA | Sitagliptini hydrochloridum monohydricum 56.688 mg | Inhibitory DPP-4
Fingolimod Zentiva | Fingolimodum 0,5 mg + Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Bronchosol Solid | Thymi herbae extractum siccum/75 mg + Primulae radicis extractum siccum/37.5 mg | Farmakologiczna grupa nieokreślona
Terlipressin acetate Altan | Terlipressini acetas 1 mg/8.5 ml | Leki hormonalne
Primun Gumboro | Szczepionka przeciw zakaźnemu zapaleniu torby Fabrycjusza ptaków, żywa - | Farmakologiczna grupa nieokreślona
Spasmipur | Hyoscini butylbromidum (Scopolamini butylbromidum) 20 mg/ml | Farmakologiczna grupa nieokreślona
Strepsils na kaszel | Carbocisteinum 375 mg | Leki układu oddechowego
Dormazolam | Midazolamum 5 mg/ml | Farmakologiczna grupa nieokreślona
Cisatracurium Accordpharma | Cisatracurii besilas 2.68 mg/ml | Leki układu mięśniowo‑szkieletowego
Abacavir Accord | Abacavirum 300 mg | Leki przeciwbakteryjne i przeciwzakaźne
Findarts Duo | Dutasteridum 0,5 mg + Tamsulosini hydrochloridum 0,4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Findarts | Dutasteridum 0,5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Linatra | Linagliptinum 5 mg | Inhibitory DPP-4
Ceftriaxone TZF | Ceftriaxonum natricum 1 g | Cefalosporyny III generacji
Tacrolimusum Delfarma | Tacrolimus 0,1% | Leki dermatologiczne
Apropol | Opipramoli dihydrochloridum 50 mg | Leki działające na układ nerwowy
Rivaroxaban Viatris | Rivaroxabanum 15 mg | DOAC
Cefepime Accord | Cefepimi dihydrochloridum 1.19 g/1 fiolka | Leki przeciwbakteryjne i przeciwzakaźne
Topiramate Aurovitas | Topiramatum 25 mg | Leki działające na układ nerwowy
AuroBetina | Betahistini dihydrochloridum 8 mg | Leki działające na układ nerwowy
Pemetrexed EVER Pharma | Pemetrexedum dinatricum 2,5-hydricum 30.2 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Parlodel | Bromocriptini mesylas 2.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Bovilis INtranasal RSP Live | Żywy syncytialny wirus dróg oddechowych bydła (BRSV), szczep Jencine-2013 5,0 - 7,0 log10 TCID50 + Aqua pro injectione * W rozpuszczalniku | Farmakologiczna grupa nieokreślona
Abiraterone Glenmark | Abirateroni acetas 250 mg | Leki przeciwnowotworowe i immunomodulujące
Respiflor | Florfenicolum 100 mg/1 ml | Farmakologiczna grupa nieokreślona
Abiraterone G.L. Pharma | Abirateroni acetas 250 mg | Leki przeciwnowotworowe i immunomodulujące
Abirateron Zentiva | Abirateroni acetas 500 mg | Leki przeciwnowotworowe i immunomodulujące
Abiraterone Fresenius Kabi | Abirateroni acetas 250 mg | Leki przeciwnowotworowe i immunomodulujące
Abirateron Aristo | Abirateroni acetas 250 mg | Leki przeciwnowotworowe i immunomodulujące
Abiral | Abirateroni acetas 500 mg | Leki przeciwnowotworowe i immunomodulujące
Vardenafil Holsten | Vardenafil hydrochloride trihydrate 5.925 mg | Leki układu moczowo‑płciowego i hormony płciowe
Procamidor Duo | Procaini hydrochloridum 40 mg/ml + Adrenalini  tartras 0.036 mg/ml | Farmakologiczna grupa nieokreślona
Vitrakvi | Larotrectinibum 25 mg | Leki przeciwnowotworowe i immunomodulujące
Octenisept oral mono | Octenidini dihydrochloridum 1 mg/ml | Leki przewodu pokarmowego i metaboliczne
Voriconazole Fosun Pharma | Voriconazolum 200 mg | Leki przeciwbakteryjne i przeciwzakaźne
Abiraterone Richter | Abirateroni acetas 500 mg | Leki przeciwnowotworowe i immunomodulujące
Tamsiger | Tamsulosini hydrochloridum 0,4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Metrovis | Metronidazolum 100 mg | Farmakologiczna grupa nieokreślona
Lamivudine Aurovitas | Lamivudinum 100 mg | Leki przeciwbakteryjne i przeciwzakaźne
Fordiab | Sitagliptinum 56.688 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
APAP intense | Ibuprofenum 200 mg + Paracetamolum 500 mg | NLPZ
Linagliptin TZF | Linagliptinum 5 mg | Inhibitory DPP-4
Rosuvastatin/Acetylsalicylic acid Teva | Rosuvastatinum 5 mg + Acidum acetylsalicylicum 100 mg | Leki układu sercowo‑naczyniowego
Cyclodynon | Agni casti fructus extractum siccum 20 mg | Leki układu moczowo‑płciowego i hormony płciowe
Deferasirox Mylan | Deferasiroxum 90 mg | Pozostałe produkty lecznicze
Micafungin Zentiva | Micafunginum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Eprocliv | Sitagliptinum 50 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Feiba NF | Białko osocza ludzkiego 20-60 mg/ml | Leki działające na krew i układ krwiotwórczy
Silodosin MSN | Silodosinum 4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Spravato | Esketaminum 28 mg | Inne leki przeciwdepresyjne
Credelio 12 mg | Lotilanerum 12 mg | Farmakologiczna grupa nieokreślona
Credelio 48 mg | Lotilanerum 48 mg | Farmakologiczna grupa nieokreślona
Dalmaprost | D-Cloprostenolum 0.075 mg/ml | Farmakologiczna grupa nieokreślona
Nefopam Holsten | Nefopami hydrochloridum 30 mg | Leki działające na układ nerwowy
Adatam XR | Tamsulosini hydrochloridum 0.4 mg | Leki układu moczowo‑płciowego i hormony płciowe
ARIXIL vet | Benazeprili hydrochloridum 5 mg | Farmakologiczna grupa nieokreślona
Chlorprothixen Hasco | Chlorprothixeni hydrochloridum 15 mg | Leki działające na układ nerwowy
Porcilis Lawsonia | Lawsonia intracellularis, szczep SPAH-08, inaktywowane 5323 U/2 ml + Aqua pro injectione *w Rozpuszczalniku | Farmakologiczna grupa nieokreślona
Esomeprazole Zentiva | Esomeprazolum 40 mg + Esomeprazolum natricum 42.5 mg | IPP
Ibuprom Zatoki Max | Ibuprofenum 400 mg + Pseudoephedrini hydrochloridum 60 mg | NLPZ
Cefazolin TZF | Cefazolinum natricum 1 g | Leki przeciwbakteryjne i przeciwzakaźne
Carmustine Accord | Carmustinum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Bijuva | Estradiolum 1 mg + Progesteronum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Ontipria | Tiotropii bromidum monohydricum 0.0217 mg | Leki układu oddechowego
Gaxenim | Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Zivafert | Gonadotrophinum chorionicum 5000 IU | Leki układu moczowo‑płciowego i hormony płciowe
Rinvoq | Upadacitinibum 15 mg | Leki przeciwnowotworowe i immunomodulujące
Cefuroxime TZF | Cefuroximum natricum 1578 mg | Leki przeciwbakteryjne i przeciwzakaźne
Simparica Trio | Sarolanerum 3 mg + Moxidectinum 0.06 mg + Pyrantelum 12.5 mg | Farmakologiczna grupa nieokreślona
Furosemid Medreg | Furosemidum 40 mg | Leki układu sercowo‑naczyniowego
Neobiotic | Neomycini sulfas 16.74 mg/g | Leki dermatologiczne
Nikozipix | Cytisinum 1.5 mg | Leki działające na układ nerwowy
Anacard protect | Acidum acetylsalicylicum 150 mg | Leki przeciwpłytkowe
Lidocaini hydrochloridum Noridem | Lidocaini hydrochloridum 10 mg/ml + Lidocaini hydrochloridum monohydricum 10.66 mg | Leki działające na układ nerwowy
Ophtaclin vet | Chlortetracyclini hydrochloridum 10 mg/1 g | Farmakologiczna grupa nieokreślona
Diclogel | Diclofenacum natricum 10 mg/g | Leki układu mięśniowo‑szkieletowego
Efektan Max | Dimenhydrinatum 50 mg/5 ml | Leki przewodu pokarmowego i metaboliczne
Efektan | Dimenhydrinatum 25 mg/5 ml | Leki przewodu pokarmowego i metaboliczne
Sugammadex Ranbaxy | Sugammadexum natricum 108,8 mg/ml | Pozostałe produkty lecznicze
Abatixent | Apixabanum 2.5 mg | DOAC
Axipio | Apixabanum 2.5 mg | DOAC
Lenalidomide Ranbaxy | Lenalidomidum 2.5 mg | Leki przeciwnowotworowe i immunomodulujące
Atofab | Atomoxetinum 10 mg | Leki działające na układ nerwowy
Conaret | Bisoprololi fumaras 1,25 mg | β-blokery selektywne
Fulvestrant Glenmark | Fulvestrantum 250 mg/5 mL | Leki przeciwnowotworowe i immunomodulujące
Dasatinib SUN | Dasatinibum 20 mg | Leki przeciwnowotworowe i immunomodulujące
Sunitinib Zentiva | Sunitinibum 12,5 mg | Leki przeciwnowotworowe i immunomodulujące
Boncel 25 000 j.m. | Cholecalciferolum 25 000 IU | Leki przewodu pokarmowego i metaboliczne
Boncel 100 000 j.m. | Cholecalciferolum 100 000 IU | Leki przewodu pokarmowego i metaboliczne
Sunitinib G.L. Pharma | Sunitinibum 12.5 mg | Leki przeciwnowotworowe i immunomodulujące
Piperacillin + Tazobactam Eugia | Piperacillinum monohydricum 2083.333 mg + Tazobactamum natricum 268 mg | Penicyliny z inhibitorami beta-laktamaz
Lerakta | Lercanidipini hydrochloridum 10 mg | Antagoniści kanału wapniowego
Vimetso | Vildagliptinum 50 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Laxatract | Lactulosum liquidum 667,0 mg/ml | Farmakologiczna grupa nieokreślona
Maymetsi | Sitagliptinum 50 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Oramorph | Morphini sulfas 20 mg/ml | Leki działające na układ nerwowy
Eplerenon Medical Valley | Eplerenonum 25 mg | Leki układu sercowo‑naczyniowego
AuroMirta ORO | Mirtazapinum 15 mg | Inne leki przeciwdepresyjne
Livopill | Levonorgestrelum 1.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Mucoplant na kaszel bluszcz | Hederae helicis folii extractum siccum (4-8:1) | Leki układu oddechowego
Tralieve Vet | Tramadoli hydrochloridum 50 mg/ml (co odpowiada 43,9 mg/ml tramadolu) | Farmakologiczna grupa nieokreślona
Posaconazole Aurovitas | Posaconazolum 40 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Tranexamic acid Sunho | Acidum tranexamicum 100 mg/ml | Leki działające na krew i układ krwiotwórczy
Dexketoprofen Sopharma | Dexketoprofenum 50mg/ 2ml | NLPZ
Geroladut | Dutasteridum 0.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Vetospirin | Natrii salicylas 1000 mg/g (co odpowiada 863 mg/g kwasu salicylowego) | Farmakologiczna grupa nieokreślona
Canicaral vet | Carprofenum 40 mg/tabl. | Farmakologiczna grupa nieokreślona
Flegtac ORO | bromoheksyny chlorowodorek 4 mg | Leki układu oddechowego
Flegamina Fast Junior | Bromhexini hydrochloridum 4 mg | Leki układu oddechowego
Flegamina Fast | Bromhexini hydrochloridum 8 mg | Leki układu oddechowego
Bilagra | Bilastinum 20 mg | Leki układu oddechowego
Bilant | Bilastinum 20 mg | Leki układu oddechowego
Bilabella | Bilastinum 20 mg | Leki układu oddechowego
Amoxicillin + clavulanic acid AptaPharma | Amoxicillinum 1000 mg + Acidum clavulanicum 200 mg | Penicyliny z inhibitorami beta-laktamaz
Sitagliptin Medical Valley | Sitagliptinum 25 mg | Inhibitory DPP-4
Levosimendan Zentiva | Levosimendanum 2.5 mg/ml | Leki układu sercowo‑naczyniowego
Diabufor XR | Metformini hydrochloridum 500 mg | Biguanidy
Metoprolol Medreg | Metoprololi tartras 50 mg | β-blokery selektywne
Axotonil Max | Cholini salicylas 440 mg/ml | Leki okulistyczne i otologiczne
Firodyl | Firocoxib 62,5 mg/tabl. | Farmakologiczna grupa nieokreślona
Femiraya | Dehydroepiandrosteronum 10 mg | Leki przewodu pokarmowego i metaboliczne
Rivaroxaban Synoptis | Rivaroxabanum 15 mg | DOAC
Neptra | Florfenicolum 16.7 mg/ml + Terbinafini hydrochloridum 16.7 mg/ml + Mometasoni furoas 2.2 mg/ml | Farmakologiczna grupa nieokreślona
Mirataz | Mirtazapinum (as hemihydrate) 20 mg/g | Farmakologiczna grupa nieokreślona
Nobivac Myxo-RHD PLUS | Szczepionka przeciw myksomatozie i wirusowej krwotocznej chorobie królików, żywa, rekombinowana - | Farmakologiczna grupa nieokreślona
Metamizol-SF | Metamizolum natricum monohydricum 500 mg | Leki działające na układ nerwowy
Alluzience | Toxinum botulinicum typum A ad iniectabile 200 jednostek Speywood/ml | Leki układu mięśniowo‑szkieletowego
Furaginum MAX US Pharmacia | Furazidinum 100 mg | Leki przeciwbakteryjne i przeciwzakaźne
Hydrocortisonum Ziaja MAX | Hydrocortisoni acetas 10 mg/g | Leki dermatologiczne
Cefepime TZF | Cefepimi dihydrochloridum monohydratum 1.189 g | Leki przeciwbakteryjne i przeciwzakaźne
Uniben smak cytrynowy | Benzydamini hydrochloridum 3 mg | Leki układu oddechowego
Uniben smak miętowy | Benzydamini hydrochloridum 3 mg | Leki układu oddechowego
Quofenix | Delafloxacini megluminum 300 mg | Fluorochinolony
Bortezomib Fresenius Kabi | Bortezomibum 3.5 mg | Leki przeciwnowotworowe i immunomodulujące
Xospata | Gilteritinibi fumaras 40 mg | Leki przeciwnowotworowe i immunomodulujące
Apsasol Hidox | Doxycyclini hyclas co odpowiada 500 mg/g - doksycykliny | Farmakologiczna grupa nieokreślona
Rhokiinsa | Netarsudili mesilas 200 mcg/ml | Leki okulistyczne i otologiczne
Noradrenaline hameln | Noradrenaliny winian 0.399 mg/ml | Leki układu sercowo‑naczyniowego
Cegfila | Pegfilgrastimum 6 mg | Leki przeciwnowotworowe i immunomodulujące
Evenity | Romosozumabum 90 mg/ml | Leki układu mięśniowo‑szkieletowego
Lovacyclin LA | Oxytetracyclinum 200 mg/1 ml | Farmakologiczna grupa nieokreślona
Pergoquin | Pergolidi mesilas 1.31 mg | Farmakologiczna grupa nieokreślona
Besoltin | Benfothiaminum 40 mg + Pyridoxini hydrochloridum 90 mg + Cyanocobalaminum 0.25 mg | Leki przewodu pokarmowego i metaboliczne
Deferasirox Accord | Deferasiroxum 90 mg | Pozostałe produkty lecznicze
Tavlesse | Fostamatinibum 100 mg | Leki działające na krew i układ krwiotwórczy
Isturisa | Osilodrostatum 1 mg | Leki hormonalne
NiQuitin MINI Citrus | Nicotinum 2 mg | Leki działające na układ nerwowy
Jansitin | Sitagliptinum 25 mg | Inhibitory DPP-4
Klertis | Sunitinibum 12.5 mg | Leki przeciwnowotworowe i immunomodulujące
Sorafenib Mylan | Sorafenibum 200 mg | Leki przeciwnowotworowe i immunomodulujące
